location_id,period_of_time,sensor_description,sensor_name,latitude,longitude,total_pedestrian_count,hours_covered,days_covered,suburb,postcode
1,1. Late Night (12am-6am),Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,85536,2124,355,Melbourne,3000
1,2. Morning (6am-12pm),Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,959788,1784,355,Melbourne,3000
1,3. Afternoon (12pm-6pm),Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,3077950,1239,350,Melbourne,3000
1,4. Night (6pm-12am),Bourke Street Mall (North),Bou292_T,-37.81349441,144.96515323,900950,1083,354,Melbourne,3000
2,1. Late Night (12am-6am),Bourke Street Mall (South),Bou283_T,-37.81380668,144.96516718,76304,2188,365,Melbourne,3000
2,2. Morning (6am-12pm),Bourke Street Mall (South),Bou283_T,-37.81380668,144.96516718,615419,1874,365,Melbourne,3000
2,3. Afternoon (12pm-6pm),Bourke Street Mall (South),Bou283_T,-37.81380668,144.96516718,1629611,1219,358,Melbourne,3000
2,4. Night (6pm-12am),Bourke Street Mall (South),Bou283_T,-37.81380668,144.96516718,645426,1876,365,Melbourne,3000
3,1. Late Night (12am-6am),Melbourne Central,Swa295_T,-37.81101524,144.96429485,371486,2176,363,Melbourne,3000
3,2. Morning (6am-12pm),Melbourne Central,Swa295_T,-37.81101524,144.96429485,830532,1829,363,Melbourne,3000
3,3. Afternoon (12pm-6pm),Melbourne Central,Swa295_T,-37.81101524,144.96429485,2406604,1104,358,Melbourne,3000
3,4. Night (6pm-12am),Melbourne Central,Swa295_T,-37.81101524,144.96429485,2579598,1821,363,Melbourne,3000
4,1. Late Night (12am-6am),Town Hall (West),Swa123_T,-37.81487988,144.9660878,262647,2188,365,Melbourne,3000
4,2. Morning (6am-12pm),Town Hall (West),Swa123_T,-37.81487988,144.9660878,1477613,1837,365,Melbourne,3000
4,3. Afternoon (12pm-6pm),Town Hall (West),Swa123_T,-37.81487988,144.9660878,3410086,1141,365,Melbourne,3000
4,4. Night (6pm-12am),Town Hall (West),Swa123_T,-37.81487988,144.9660878,1674279,1235,363,Melbourne,3000
5,1. Late Night (12am-6am),Princes Bridge,PriNW_T,-37.81874249,144.96787656,168085,2139,358,Melbourne,3000
5,2. Morning (6am-12pm),Princes Bridge,PriNW_T,-37.81874249,144.96787656,1407375,1806,358,Melbourne,3000
