facility_name,suburb,postcode,lat,long,formatted_address
BRANXHOLME POLICE STATION,Branxholme,3302,-37.85841914799994,141.79875452900012,87-89 MONROE STREET
BRIAGOLONG POLICE STATION,Briagolong,3860,-37.843433269999935,147.06962799500002,19-21 AVON STREET
BRIDGEWATER POLICE STATION,Bridgewater On Loddon,3516,-36.601703715999975,143.9400085640001,38 PARK STREET
BRIGHT POLICE STATION,Bright,3741,-36.731794253999965,146.9620494830001,7 PARK STREET
BROADFORD POLICE STATION,Broadford,3658,-37.20340462599995,145.055423388,156 HIGH STREET
BROADMEADOWS POLICE STATION,Broadmeadows,3047,-37.68322299899995,144.91687455300007,15 DIMBOOLA ROAD
BRUNSWICK POLICE STATION,Brunswick,3056,-37.762812742999984,144.96306858000003,630 SYDNEY ROAD
BRUTHEN POLICE STATION,Bruthen,3885,-37.70751282899994,147.83111908900003,45 MAIN STREET
BANNOCKBURN POLICE STATION,Bannockburn,3331,-38.04993326099998,144.16841498400004,51 HIGH STREET
BEAUFORT POLICE STATION,Beaufort,3373,-37.43148457399997,143.3810581350001,11 LIVINGSTONE STREET
BEEAC POLICE STATION,Beeac,3251,-38.19530615599996,143.64005957900008,6 COULSTON STREET
BEECHWORTH POLICE STATION,Beechworth,3747,-36.35837190299998,146.68887022,102 FORD STREET
BELGRAVE POLICE STATION,Belgrave,3160,-37.90808936999997,145.35461771500002,2 ENA ROAD
BENALLA POLICE STATION,Benalla,3672,-36.55560358699995,145.9752979550001,17 BRIDGE STREET
BENDIGO POLICE STATION,Bendigo,3550,-36.76698964399998,144.26698936200012,221 CALDER HIGHWAY
BENDOC POLICE STATION,Bendoc,3888,-37.14707241499997,148.88491248600008,24 DOWLING STREET
BETHANGA POLICE STATION,Bethanga,3691,-36.12547927999998,147.09932581700002,1 BETHANGA BAY ROAD
BEULAH POLICE STATION,Beulah,3395,-35.943240163999974,142.41949944600003,21-23 PHILLIPS STREET
BIRCHIP POLICE STATION,Birchip,3483,-35.979800144999956,142.91732228500007,95 CUMMING AVENUE
BIRREGURRA POLICE STATION,Birregurra,3242,-38.33629848099997,143.78271101400003,89 MAIN STREET
BOOLARRA POLICE STATION,Boolarra,3870,-38.38044265199994,146.27232066400006,29 TARWIN STREET
BOORT POLICE STATION,Boort,3537,-36.11606286299997,143.7234091890001,4 STATION STREET
BORONIA POLICE STATION,Boronia,3155,-37.85993455799996,145.28548774500007,259 DORSET ROAD
BOX HILL POLICE STATION,Box Hill,3128,-37.81808498299995,145.12729827200008,1 KANGERONG ROAD
COLLINGWOOD POLICE STATION,Abbotsford,3067,-37.80404328399993,144.99356788500006,4 EDDY COURT
ALEXANDRA POLICE STATION,Alexandra,3714,-37.18863455899998,145.70777088900002,33 GRANT STREET
ALTONA NORTH POLICE STATION,Altona North,3025,-37.83609189599997,144.84472483000002,72 COOPER AVENUE
ANGLESEA POLICE STATION,Anglesea,3230,-38.40339863899993,144.19222814500006,55 GREAT OCEAN ROAD
APOLLO BAY POLICE STATION,Apollo Bay,3233,-38.75966440099995,143.67038159800006,31 NELSON STREET
APSLEY POLICE STATION,Apsley,3319,-36.96706059599995,141.08361854300006,17 SPLATT STREET
ARARAT POLICE STATION,Ararat,3377,-37.28424318899994,142.92672242100002,1 LIGAR STREET
ASHBURTON POLICE STATION,Ashburton,3147,-37.86287427199994,145.07970969100006,1 Y STREET
AVOCA POLICE STATION,Avoca,3467,-37.08717013699993,143.4740956420001,146 HIGH STREET
AVONDALE HEIGHTS POLICE STATION,Avondale Heights,3034,-37.75572978699995,144.85944098400012,162 MILITARY ROAD
AXEDALE POLICE STATION,Axedale,3551,-36.786992828999985,144.50156785900003,86 MCIVOR HIGHWAY
BACCHUS MARSH POLICE STATION,Bacchus Marsh,3340,-37.675788067999974,144.43602046600006,119 MAIN STREET
BAIRNSDALE POLICE STATION,Bairnsdale,3875,-37.82586393899993,147.63595803700002,45 MAIN STREET
BALLAN POLICE STATION,Ballan,3342,-37.59995116899995,144.22088917700012,174-176 INGLIS STREET
BALLARAT POLICE STATION,Ballarat Central,3350,-37.56418626599998,143.85911918700003,20 DANA STREET
BALMORAL POLICE STATION,Balmoral,3407,-37.25221013899994,141.83232065100003,78 COLERAINE ROAD
EUROA POLICE STATION,Euroa,3666,-36.75173151299998,145.572693823,40 KIRKLAND AVENUE
FALLS CREEK POLICE STATION,Falls Creek,3699,-36.863572000999966,147.28268399800004,19 BOGONG HIGH PLAINS ROAD
FITZROY POLICE STATION,Fitzroy,3065,-37.80222187499993,144.97913155300012,201 NAPIER STREET
FLEMINGTON POLICE STATION,Flemington,3031,-37.78511910699996,144.9321498070001,30 WELLINGTON STREET
FOOTSCRAY POLICE STATION,Footscray,3011,-37.803867012999945,144.90137279900011,66 HYDE STREET
FORREST POLICE STATION,Forrest,3236,-38.52102480899998,143.71662739500005,45 STATION STREET
FOSTER POLICE STATION,Foster,3960,-38.65214591399996,146.202435454,69-71 MAIN STREET
FRANKSTON POLICE STATION,Frankston,3199,-38.13890076299998,145.12466702300003,15 FLETCHER ROAD
CASTERTON POLICE STATION,Casterton,3311,-37.58532451599996,141.4060271400001,2 JACKSON STREET
CASTLEMAINE POLICE STATION,Castlemaine,3450,-37.06373050399998,144.21936548000008,32 TEMPLETON STREET
CAULFIELD POLICE STATION,Caulfield,3162,-37.88129357899993,145.02327126300008,285-289 HAWTHORN ROAD
CAVENDISH POLICE STATION,Cavendish,3314,-37.52720494799996,142.04041038800003,27 SCOTT STREET
CHARLTON POLICE STATION,Charlton,3525,-36.26960540699997,143.34837347000007,12 CAMP STREET
CHELSEA POLICE STATION,Chelsea,3196,-38.05135574099995,145.11632759500003,314-315 STATION STREET
CHELTENHAM POLICE STATION,Cheltenham,3192,-37.96474395699994,145.05658722500004,1222 NEPEAN HIGHWAY
CHILTERN POLICE STATION,Chiltern,3683,-36.148145237999984,146.61057135700003,64 MAIN STREET
CHURCHILL POLICE STATION,Churchill,3842,-38.307728098999974,146.41738403500003,6 SWITCHBACK ROAD
CLAYTON POLICE STATION,Clayton,3168,-37.92013756299997,145.12046672500003,263 CLAYTON ROAD
CLUNES POLICE STATION,Clunes,3370,-37.29514950599997,143.78362899800004,2 HANNAH STREET
COBDEN POLICE STATION,Cobden,3266,-38.32819154999993,143.0755613770001,52 CURDIE STREET
COBRAM POLICE STATION,Cobram,3644,-35.920383630999936,145.65097438200007,36 WILLIAM STREET
COHUNA POLICE STATION,Cohuna,3568,-35.81134480199995,144.22153354800002,25 MARKET STREET
COLERAINE POLICE STATION,Coleraine,3315,-37.59986086599997,141.69305784900007,63 MCLEOD STREET
CORIO POLICE STATION,Corio,3214,-38.07390162099995,144.35823332200005,121 BACCHUS MARSH ROAD
CORRYONG POLICE STATION,Corryong,3707,-36.19451371699995,147.90394137600003,19 JARDINE STREET
COWES POLICE STATION,Cowes,3922,-38.45008080699995,145.2356708950001,92 CHAPEL STREET
CRAIGIEBURN POLICE STATION,Craigieburn,3064,-37.59834567299998,144.93311945300002,1 BELSAY PLACE
CRANBOURNE POLICE STATION,Cranbourne,3977,-38.113362423999945,145.28342947500005,166-168 SLADEN STREET
CRESSY POLICE STATION,Cressy,3322,-38.03170403599995,143.63364556500005,8-10 LYONS STREET
CRESWICK POLICE STATION,Creswick,3363,-37.429898467999976,143.89234724200003,137 NAPIER STREET
CROYDON POLICE STATION,Croydon,3136,-37.79921657199998,145.27849894300005,171-175 MT DANDENONG ROAD
CULGOA POLICE STATION,Culgoa,3530,-35.71746879099993,143.10626685900002,19 MAIN STREET
DANDENONG POLICE STATION,Dandenong,3175,-37.990248608999934,145.21738491500005,34-50 LANGHORNE STREET
DAYLESFORD POLICE STATION,Daylesford,3460,-37.33802046899996,144.1437253900001,12 VINCENT STREET
DEDERANG POLICE STATION,Dederang,3691,-36.471627093999984,147.01760282100008,4396 KIEWA VALLEY HIGHWAY
DIAMOND CREEK POLICE STATION,Diamond Creek,3089,-37.674089668999954,145.16059418200007,83 MAIN HURSTBRIDGE ROAD
DIMBOOLA POLICE STATION,Dimboola,3414,-36.45644007799996,142.027881513,57 LLOYD STREET
MELBOURNE WEST POLICE STATION,Docklands,3008,-37.81380744599994,144.95125415500002,313 SPENCER STREET
DONALD POLICE STATION,Donald,3480,-36.37365691799994,142.98406650800007,11 BYRNE STREET
