X,Y,objectid,featuretype,descripton,class,facility_name,facility_operationalstatus,facility_address,abs_suburb,facility_state,abs_postcode,facility_attribute_source,facility_attribute_date,facility_source,facility_date,facility_spatial_confidence,facility_revised,comment_,facility_lat,facility_long,validated,gnaf_building_name,gnaf_address_detail_pid,gnaf_formatted_address,gnaf_confidence,gnaf_postcode,gnaf_suburb,distance_to_gnaf,gnaf_lat,gnaf_long
141.798754529,-37.8584191479999,1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRANXHOLME POLICE STATION,OPERATIONAL,,BRANXHOLME,VICTORIA,3302,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.85841914799994,141.79875452900012,,,GAVIC424585730,87-89 MONROE STREET,1,3302,BRANXHOLME,0,-37.858419149999975,141.7987545300001
147.069627995,-37.8434332699999,2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIAGOLONG POLICE STATION,OPERATIONAL,,BRIAGOLONG,VICTORIA,3860,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.843433269999935,147.06962799500002,,,GAVIC425609063,19-21 AVON STREET,0,3860,BRIAGOLONG,0,-37.843433269999935,147.06962800000008
143.940008564,-36.601703716,3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIDGEWATER POLICE STATION,OPERATIONAL,,BRIDGEWATER ON LODDON,VICTORIA,3516,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.601703715999975,143.9400085640001,,,GAVIC720579618,38 PARK STREET,1,3516,BRIDGEWATER ON LODDON,0,-36.60170371999993,143.94000856000002
146.962049483,-36.731794254,4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRIGHT POLICE STATION,OPERATIONAL,,BRIGHT,VICTORIA,3741,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-36.731794253999965,146.9620494830001,,,GAVIC420915118,7 PARK STREET,0,3741,BRIGHT,0,-36.73179424999995,146.96204948000002
145.055423388,-37.203404626,5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BROADFORD POLICE STATION,OPERATIONAL,,BROADFORD,VICTORIA,3658,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.20340462599995,145.055423388,,,GAVIC421814544,156 HIGH STREET,2,3658,BROADFORD,3,-37.20342769999996,145.05540966
144.916874553,-37.683222999,6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BROADMEADOWS POLICE STATION,OPERATIONAL,,BROADMEADOWS,VICTORIA,3047,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.68322299899995,144.91687455300007,,,GAVIC421873736,15 DIMBOOLA ROAD,2,3047,BROADMEADOWS,0,-37.68322299999994,144.91687400000012
144.96306858,-37.762812743,7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRUNSWICK POLICE STATION,OPERATIONAL,,BRUNSWICK,VICTORIA,3056,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.762812742999984,144.96306858000003,,,GAVIC420419088,630 SYDNEY ROAD,1,3056,BRUNSWICK,0,-37.76281199999994,144.96306800000002
147.831119089,-37.7075128289999,8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BRUTHEN POLICE STATION,OPERATIONAL,,BRUTHEN,VICTORIA,3885,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.70751282899994,147.83111908900003,,BRUTHEN POLICE STATION,GAVIC410995573,45 MAIN STREET,2,3885,BRUTHEN,0,-37.707512829999985,147.83111909000002
144.168414984,-38.049933261,9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BANNOCKBURN POLICE STATION,OPERATIONAL,,BANNOCKBURN,VICTORIA,3331,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-38.04993326099998,144.16841498400004,,,GAVIC423706438,51 HIGH STREET,1,3331,BANNOCKBURN,0,-38.04993324999998,144.16841498000008
143.381058135,-37.431484574,10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,BEAUFORT POLICE STATION,OPERATIONAL,,BEAUFORT,VICTORIA,3373,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,2018/05/15 00:00:00+00,,-37.43148457399997,143.3810581350001,,,GAVIC420901772,11 LIVINGSTONE STREET,1,3373,BEAUFORT,0,-37.43148456999995,143.38105813000004
