location_id,sensing_datetime,sensing_date,sensing_time,direction_1,direction_2,total_of_directions
181,2025-04-14T14:00:00+00:00,2025-04-15,00:00,2,4,6
181,2025-04-14T14:03:00+00:00,2025-04-15,00:03,1,4,5
181,2025-04-14T14:05:00+00:00,2025-04-15,00:05,2,6,8
181,2025-04-14T14:09:00+00:00,2025-04-15,00:09,4,8,12
3,2025-04-14T13:57:00+00:00,2025-04-14,23:57,6,1,7
3,2025-04-14T14:07:00+00:00,2025-04-15,00:07,1,0,1
6,2025-04-14T13:55:00+00:00,2025-04-14,23:55,2,0,2
14,2025-04-14T14:06:00+00:00,2025-04-15,00:06,3,0,3
28,2025-04-14T14:01:00+00:00,2025-04-15,00:01,1,2,3
29,2025-04-14T14:01:00+00:00,2025-04-15,00:01,0,2,2
31,2025-04-14T14:09:00+00:00,2025-04-15,00:09,0,3,3
36,2025-04-14T14:02:00+00:00,2025-04-15,00:02,4,0,4
36,2025-04-14T14:08:00+00:00,2025-04-15,00:08,2,0,2
37,2025-04-14T13:59:00+00:00,2025-04-14,23:59,1,0,1
39,2025-04-14T14:03:00+00:00,2025-04-15,00:03,2,0,2
41,2025-04-14T13:55:00+00:00,2025-04-14,23:55,1,4,5
41,2025-04-14T13:56:00+00:00,2025-04-14,23:56,2,1,3
41,2025-04-14T14:02:00+00:00,2025-04-15,00:02,1,6,7
41,2025-04-14T14:09:00+00:00,2025-04-15,00:09,1,0,1
42,2025-04-14T13:55:00+00:00,2025-04-14,23:55,1,4,5
42,2025-04-14T14:01:00+00:00,2025-04-15,00:01,0,1,1
42,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,2,2
45,2025-04-14T13:56:00+00:00,2025-04-14,23:56,1,3,4
45,2025-04-14T14:01:00+00:00,2025-04-15,00:01,0,6,6
45,2025-04-14T14:02:00+00:00,2025-04-15,00:02,0,5,5
45,2025-04-14T14:03:00+00:00,2025-04-15,00:03,0,1,1
45,2025-04-14T14:05:00+00:00,2025-04-15,00:05,0,6,6
45,2025-04-14T14:06:00+00:00,2025-04-15,00:06,0,2,2
45,2025-04-14T14:07:00+00:00,2025-04-15,00:07,4,2,6
47,2025-04-14T13:58:00+00:00,2025-04-14,23:58,3,1,4
47,2025-04-14T14:00:00+00:00,2025-04-15,00:00,2,0,2
47,2025-04-14T14:02:00+00:00,2025-04-15,00:02,1,0,1
50,2025-04-14T14:02:00+00:00,2025-04-15,00:02,1,0,1
50,2025-04-14T14:06:00+00:00,2025-04-15,00:06,2,1,3
54,2025-04-14T13:59:00+00:00,2025-04-14,23:59,2,0,2
54,2025-04-14T14:04:00+00:00,2025-04-15,00:04,0,1,1
59,2025-04-14T13:55:00+00:00,2025-04-14,23:55,1,4,5
59,2025-04-14T14:00:00+00:00,2025-04-15,00:00,5,2,7
59,2025-04-14T14:05:00+00:00,2025-04-15,00:05,5,4,9
61,2025-04-14T13:56:00+00:00,2025-04-14,23:56,2,0,2
61,2025-04-14T13:57:00+00:00,2025-04-14,23:57,1,1,2
61,2025-04-14T14:00:00+00:00,2025-04-15,00:00,3,0,3
61,2025-04-14T14:04:00+00:00,2025-04-15,00:04,2,0,2
66,2025-04-14T13:56:00+00:00,2025-04-14,23:56,2,0,2
66,2025-04-14T14:04:00+00:00,2025-04-15,00:04,1,1,2
66,2025-04-14T14:06:00+00:00,2025-04-15,00:06,1,0,1
69,2025-04-14T14:00:00+00:00,2025-04-15,00:00,0,1,1
71,2025-04-14T13:58:00+00:00,2025-04-14,23:58,0,1,1
77,2025-04-14T13:55:00+00:00,2025-04-14,23:55,0,2,2
87,2025-04-14T14:04:00+00:00,2025-04-15,00:04,0,1,1
135,2025-04-14T14:00:00+00:00,2025-04-15,00:00,2,2,4
143,2025-04-14T13:55:00+00:00,2025-04-14,23:55,3,0,3
162,2025-04-14T14:00:00+00:00,2025-04-15,00:00,3,2,5
179,2025-04-14T13:55:00+00:00,2025-04-14,23:55,0,2,2
